Campaign_ID,Clicks,Conversions,Platform,Content_Type,Target_Age,Target_Gender,Region,Revenue,Spend,Date,Impressions,CTR,CPC,CPA,ROAS
C7995,311,260,YouTube,Image,18-24,Male,South America,28340,4620.0,2024-04-13,1531,0.20313520574787722,14.855305466237942,17.76923076923077,6.134199134199134
C7506,1125,977,Google,Video,18-24,Female,South America,130918,6056.4,2024-02-12,9582,0.117407639323732,5.383466666666666,6.1989764585465705,21.61647183145103
C5308,723,468,Facebook,Video,18-24,Other,Africa,89388,7332.0,2024-10-12,3484,0.20752009184845005,10.141078838174273,15.666666666666666,12.191489361702128
C2608,1455,1395,LinkedIn,Image,55+,Male,South America,223200,2777.5,2024-03-21,6223,0.2338100594568536,1.9089347079037802,1.9910394265232976,80.36003600360036
C2475,1832,1141,LinkedIn,Video,55+,Male,North America,128933,7318.5,2024-07-01,4919,0.3724334214271193,3.994814410480349,6.414110429447852,17.61740793878527
C3998,1956,413,LinkedIn,Carousel,55+,Male,Europe,55342,5397.0,2025-02-02,6129,0.3191385217816936,2.7592024539877302,13.067796610169491,10.254215304798963
C6209,829,150,YouTube,Image,18-24,Female,North America,8250,3999.6,2024-10-04,9283,0.08930302703867285,4.824607961399276,26.663999999999998,2.062706270627063
C4755,635,78,LinkedIn,Text,18-24,Other,North America,3354,4550.4,2024-07-13,3384,0.18764775413711585,7.165984251968504,58.33846153846154,0.73707805907173
C4279,1967,390,Facebook,Image,18-24,Other,Europe,39390,8633.0,2024-11-11,4322,0.45511337343822306,4.388917132689374,22.135897435897437,4.562724429514653
C8550,1500,1263,LinkedIn,Carousel,18-24,Female,South America,125037,6592.0,2024-08-13,2763,0.5428881650380022,4.394666666666667,5.219319081551861,18.967991504854368
C4057,54,29,YouTube,Text,55+,Other,North America,5133,5263.0,2024-03-11,5806,0.009300723389596968,97.46296296296296,181.48275862068965,0.9752992589777694
C9797,1235,907,Facebook,Image,45-54,Other,Africa,134236,8746.5,2024-03-02,3716,0.3323466092572659,7.082186234817814,9.643329658213892,15.347396101297662
C4318,1584,860,Google,Carousel,55+,Other,Asia,138460,7068.0,2024-04-02,1145,1.3834061135371178,4.462121212121212,8.21860465116279,19.589700056593095
C6182,1100,452,LinkedIn,Text,45-54,Other,South America,54240,8507.2,2024-03-24,6666,0.16501650165016502,7.733818181818182,18.8212389380531,6.375775813428625
C7386,108,38,LinkedIn,Carousel,55+,Other,South America,7600,9586.5,2024-04-29,6967,0.01550165063872542,88.76388888888889,252.27631578947367,0.792781515673082
C3248,1948,1587,Facebook,Text,45-54,Male,Europe,234876,7728.0,2024-08-26,2022,0.963402571711177,3.9671457905544147,4.869565217391305,30.392857142857142
C5065,493,473,Instagram,Video,45-54,Male,South America,31218,3840.0,2024-10-08,7271,0.067803603355797,7.789046653144016,8.118393234672304,8.1296875
C5236,751,466,Instagram,Text,35-44,Female,Europe,43804,2110.9,2024-12-21,2072,0.3624517374517375,2.810785619174434,4.529828326180258,20.751338291723908
C2760,1219,204,YouTube,Carousel,35-44,Female,Africa,30804,7352.8,2024-11-19,2287,0.5330126803672934,6.031829368334701,36.043137254901964,4.1894244369491895
C5987,312,76,LinkedIn,Video,35-44,Female,Asia,14136,4959.9,2024-06-14,3553,0.08781311567689276,15.897115384615384,65.26184210526316,2.850057460835904
C8070,1231,492,YouTube,Image,25-34,Male,Africa,44280,2989.8,2024-09-26,5107,0.24104170746034853,2.4287571080422423,6.076829268292683,14.8103552077062
C7438,544,244,Instagram,Image,55+,Female,North America,20496,2764.5,2024-07-27,6325,0.08600790513833992,5.0818014705882355,11.329918032786885,7.413998914812805
C4391,224,70,YouTube,Video,35-44,Other,Europe,8330,8247.2,2024-04-15,5371,0.04170545522249115,36.81785714285714,117.81714285714287,1.010039771073819
C2588,1570,1436,YouTube,Image,25-34,Other,Europe,104828,6642.9,2024-07-20,3200,0.490625,4.2311464968152865,4.6259749303621165,15.780457330382816
C7291,135,77,Facebook,Video,25-34,Other,Asia,14630,2445.3,2024-03-25,9183,0.01470107807905913,18.113333333333333,31.75714285714286,5.982905982905982
C4765,1264,341,Google,Carousel,35-44,Female,North America,28644,3029.4,2025-01-18,4357,0.29010787238925867,2.3966772151898734,8.883870967741936,9.455337690631808
C7311,423,78,YouTube,Text,45-54,Male,Europe,11622,9225.6,2024-03-28,1303,0.3246354566385265,21.809929078014186,118.27692307692308,1.259755463059313
C2978,394,70,LinkedIn,Image,25-34,Male,South America,11130,2061.5,2024-12-15,6015,0.0655029093931837,5.232233502538071,29.45,5.398981324278438
C2672,1564,969,LinkedIn,Image,35-44,Female,South America,76551,8173.2,2024-06-23,6281,0.2490049355198217,5.225831202046035,8.43467492260062,9.366098957568639
C1198,163,103,Instagram,Image,18-24,Female,Europe,10403,5953.4,2024-12-10,3410,0.04780058651026393,36.523926380368096,57.8,1.7474048442906576
C2879,1159,143,LinkedIn,Image,35-44,Female,North America,15301,5460.0,2024-12-28,2895,0.4003454231433506,4.710957722174288,38.18181818181818,2.802380952380952
C2768,494,236,Facebook,Video,55+,Female,Asia,27140,5458.6,2024-07-06,3040,0.1625,11.049797570850203,23.129661016949154,4.97197083501264
C2382,943,160,LinkedIn,Carousel,18-24,Other,South America,15200,8178.2,2024-10-28,6793,0.13881937288385102,8.67253446447508,51.113749999999996,1.8585996918637353
C5327,410,396,YouTube,Image,45-54,Other,Europe,30096,3339.0,2024-06-16,3235,0.1267387944358578,8.14390243902439,8.431818181818182,9.013477088948788
C8534,1897,127,Facebook,Image,45-54,Female,South America,17272,9038.7,2024-09-08,3306,0.573805202661827,4.764733790195045,71.17086614173229,1.9108942657683072
C6153,544,88,YouTube,Video,55+,Other,North America,5016,7510.0,2024-09-25,2980,0.1825503355704698,13.805147058823529,85.3409090909091,0.6679094540612517
C5259,980,551,Instagram,Carousel,45-54,Female,North America,24244,2486.4,2024-11-03,3636,0.26952695269526955,2.5371428571428574,4.512522686025409,9.7506435006435
C9489,935,652,LinkedIn,Text,45-54,Other,North America,119316,4088.7,2024-07-30,1264,0.7397151898734177,4.372941176470588,6.27101226993865,29.18189155477291
C6841,919,220,Google,Carousel,25-34,Male,Europe,28380,2198.4,2024-10-16,9425,0.09750663129973475,2.392165397170838,9.992727272727274,12.909388646288209
C2310,777,537,Facebook,Text,55+,Female,North America,79476,1966.5,2024-10-27,4372,0.17772186642268983,2.530888030888031,3.6620111731843576,40.41495041952708
C2224,393,372,Google,Video,18-24,Male,Europe,30876,5990.0,2025-01-11,7797,0.05040400153905348,15.241730279898219,16.102150537634408,5.154590984974958
C2921,585,299,LinkedIn,Text,18-24,Male,Africa,56511,6403.4,2024-11-08,7231,0.08090167335085051,10.945982905982905,21.416053511705684,8.82515538620108
C6627,830,24,Google,Image,35-44,Other,Africa,2520,3285.7,2024-07-13,8324,0.09971167707832773,3.9586746987951806,136.90416666666667,0.7669598563472015
C3701,181,173,Facebook,Text,18-24,Male,North America,30794,3435.3,2024-11-29,1270,0.14251968503937007,18.979558011049726,19.85722543352601,8.963991500014554
C4322,813,229,Google,Text,25-34,Male,North America,21526,3814.8,2024-02-24,9291,0.0875040361640297,4.692250922509225,16.658515283842796,5.642759777707874
C7266,1338,1262,Instagram,Carousel,55+,Male,Africa,193086,8578.5,2024-05-26,1122,1.1925133689839573,6.411434977578475,6.797543581616482,22.50813079209652
C6047,556,56,YouTube,Image,25-34,Female,North America,8232,6025.5,2024-12-14,9910,0.05610494450050454,10.837230215827338,107.59821428571429,1.3661936768732885
C6788,1724,539,YouTube,Video,45-54,Male,North America,76538,4824.6,2024-08-30,3606,0.47809206877426513,2.7984918793503484,8.951020408163266,15.864113087095301
C8368,258,115,YouTube,Video,25-34,Male,Africa,5405,9640.0,2024-06-11,1689,0.152753108348135,37.36434108527132,83.82608695652173,0.5606846473029046
C1811,1370,650,YouTube,Text,45-54,Female,North America,103350,8284.8,2024-11-16,6132,0.22341813437703847,6.047299270072992,12.745846153846152,12.474652375434532
C7004,353,260,Instagram,Carousel,45-54,Other,Africa,13260,5494.4,2024-03-14,1972,0.17900608519269776,15.564872521246459,21.13230769230769,2.4133663366336635
C1533,85,40,LinkedIn,Carousel,45-54,Male,Europe,5440,3445.2,2024-12-18,9239,0.0092001298841866,40.53176470588235,86.13,1.5790084755601999
C9963,489,17,LinkedIn,Carousel,25-34,Other,Africa,2584,3947.9,2025-01-17,8988,0.05440587449933244,8.073415132924335,232.2294117647059,0.6545251906076648
C1805,1447,521,Instagram,Video,55+,Female,North America,87007,5936.4,2024-07-04,9633,0.15021281013183846,4.102557014512785,11.394241842610365,14.656525840576782
C6513,1315,419,Facebook,Carousel,35-44,Male,Europe,51118,4291.2,2024-06-14,5955,0.22082283795130142,3.263269961977186,10.241527446300715,11.912285607755408
C4429,307,23,Google,Text,35-44,Female,Asia,4462,2327.5,2024-07-30,2098,0.1463298379408961,7.5814332247557,101.19565217391305,1.917078410311493
C2000,321,200,Facebook,Video,45-54,Other,Asia,37600,2111.5,2024-10-06,6873,0.046704495853339155,6.577881619937695,10.5575,17.807246033625386
C9598,1069,236,LinkedIn,Image,45-54,Other,Africa,38940,7904.0,2024-08-27,4172,0.2562320230105465,7.3938260056127225,33.49152542372882,4.926619433198381
C7377,1223,455,Instagram,Text,25-34,Female,Africa,22750,2677.5,2024-07-26,3209,0.38111561234029295,2.189288634505315,5.884615384615385,8.49673202614379
C5838,1931,1079,Google,Text,45-54,Male,South America,84162,5740.0,2024-12-26,1411,1.368532955350815,2.972553081305023,5.319740500463392,14.662369337979094
C5542,723,271,YouTube,Text,18-24,Female,South America,12195,4831.4,2024-10-04,2632,0.27469604863221886,6.682434301521438,17.828044280442803,2.5241130935132676
C1776,208,195,LinkedIn,Carousel,35-44,Female,Europe,36855,5900.0,2024-03-21,9765,0.021300563236047107,28.365384615384617,30.256410256410255,6.246610169491525
C1535,627,550,Facebook,Carousel,18-24,Female,Asia,45650,6392.3,2024-12-24,5268,0.11902050113895217,10.19505582137161,11.622363636363637,7.141404502291819
C2675,867,589,YouTube,Carousel,45-54,Male,Asia,48298,4167.9,2024-10-26,5418,0.16002214839424142,4.8072664359861585,7.07623089983022,11.588089925382087
C1678,693,202,YouTube,Text,55+,Male,Asia,39188,4702.5,2024-11-12,8124,0.08530280649926145,6.785714285714286,23.27970297029703,8.333439659755449
C5887,1904,869,Instagram,Video,45-54,Other,Europe,155551,2111.5,2024-10-10,1393,1.3668341708542713,1.1089810924369747,2.4298043728423475,73.66848212171442
C9352,1288,978,LinkedIn,Text,55+,Female,Asia,63570,8680.0,2024-04-04,2919,0.4412470023980815,6.739130434782608,8.875255623721882,7.323732718894009
C2828,860,151,YouTube,Carousel,55+,Other,South America,26123,3210.7,2024-06-13,5530,0.15551537070524413,3.7333720930232555,21.262913907284766,8.136231974335814
C6119,499,175,LinkedIn,Video,55+,Other,Europe,16450,3264.0,2024-11-15,6514,0.07660423702793982,6.541082164328658,18.65142857142857,5.039828431372549
C7917,1722,734,Google,Carousel,55+,Other,Africa,101292,8435.4,2025-01-31,2545,0.6766208251473478,4.898606271777004,11.492370572207085,12.007966427199658
C1977,635,398,LinkedIn,Image,25-34,Male,North America,65670,2290.0,2024-03-26,6879,0.09230992876871638,3.606299212598425,5.7537688442211055,28.676855895196507
C5105,1084,74,LinkedIn,Image,18-24,Female,Europe,8732,2478.0,2024-07-14,6589,0.16451661860676886,2.2859778597785976,33.486486486486484,3.5238095238095237
C2033,1432,1424,YouTube,Carousel,35-44,Other,Europe,271984,7435.8,2025-01-29,5411,0.26464609129550914,5.192597765363129,5.221769662921348,36.57763791387611
C2290,1930,1559,Instagram,Carousel,55+,Other,Europe,308682,7292.2,2024-04-13,5927,0.32562847983802934,3.778341968911917,4.677485567671584,42.33043525959244
C2498,906,464,YouTube,Carousel,25-34,Female,North America,66816,5082.5,2024-05-31,3891,0.2328450269853508,5.609823399558499,10.953663793103448,13.14628627643876
C3908,1493,1320,Facebook,Video,25-34,Other,South America,201960,5875.2,2024-07-05,8934,0.1671143944481755,3.93516409912927,4.450909090909091,34.375
C1603,416,223,YouTube,Video,45-54,Male,Europe,41924,7095.2,2024-05-24,3906,0.10650281618023553,17.05576923076923,31.817040358744393,5.908783402863908
C5900,1465,479,Facebook,Video,25-34,Other,South America,49337,4600.2,2024-09-02,9753,0.15021019173587613,3.1400682593856653,9.603757828810021,10.72496847963132
C5414,791,763,Facebook,Carousel,55+,Male,North America,61040,3705.4,2024-09-23,3264,0.2423406862745098,4.684450063211125,4.8563564875491485,16.473255249095914
C5130,1393,1065,YouTube,Image,45-54,Female,Europe,184245,5191.2,2024-04-11,8717,0.159802684409774,3.7266331658291456,4.8743661971830985,35.4917938049006
C6300,1418,407,Google,Text,18-24,Female,South America,18722,3045.8,2024-10-25,4879,0.2906333265013322,2.1479548660084626,7.483538083538084,6.1468251362532005
C1153,1604,1562,Instagram,Image,55+,Other,North America,306152,8775.6,2024-06-12,7801,0.20561466478656582,5.471072319201995,5.618181818181818,34.88673139158576
C7525,175,132,YouTube,Carousel,45-54,Other,North America,9240,4470.0,2024-05-20,9162,0.0191006330495525,25.542857142857144,33.86363636363637,2.0671140939597317
C4826,1943,1641,LinkedIn,Image,18-24,Female,Africa,206766,9506.0,2024-08-03,2426,0.8009068425391591,4.892434379825013,5.792809262644729,21.751104565537556
C4095,1975,1894,LinkedIn,Image,45-54,Other,Africa,140156,4771.2,2024-03-22,6356,0.3107300188797986,2.4157974683544303,2.5191129883843715,29.375419181757213
C2277,157,138,Google,Text,18-24,Other,Africa,5106,6964.6,2024-11-16,2907,0.054007567939456484,44.36050955414013,50.46811594202899,0.7331361456508629
C8323,352,167,Google,Text,35-44,Male,Asia,11690,5762.4,2024-06-23,9166,0.03840279293039494,16.370454545454546,34.50538922155688,2.0286686103012634
C4161,856,541,LinkedIn,Carousel,55+,Other,Asia,17312,6451.2,2024-08-10,3739,0.22893821877507356,7.536448598130841,11.924584103512014,2.683531746031746
C3297,1205,869,LinkedIn,Carousel,25-34,Female,South America,69520,6837.7,2024-02-16,9670,0.12461220268872802,5.674439834024896,7.868469505178366,10.167161472424938
C6444,94,19,Facebook,Video,55+,Male,South America,1938,8751.6,2024-08-15,3071,0.030608922175187236,93.10212765957448,460.6105263157895,0.22144522144522144
C1165,1573,1310,Facebook,Carousel,18-24,Female,Asia,119210,9187.2,2024-10-06,8609,0.18271576257405042,5.840559440559441,7.013129770992367,12.97566179031696
C3167,283,98,Google,Image,18-24,Other,Asia,13328,9504.0,2025-02-02,7927,0.03570076952188722,33.58303886925795,96.9795918367347,1.4023569023569022
C4053,1739,1662,Google,Video,35-44,Female,Asia,309132,8918.0,2024-05-10,2177,0.7988056959118053,5.12823461759632,5.365824308062575,34.66382596994842
C9760,1670,927,Google,Video,35-44,Male,North America,95481,2692.8,2024-03-22,7005,0.238401142041399,1.6124550898203593,2.904854368932039,35.457887700534755
C2990,1038,721,Facebook,Text,55+,Female,Europe,124733,8236.8,2024-07-19,8052,0.12891207153502235,7.935260115606936,11.424133148404993,15.143380924630925
C5489,806,310,LinkedIn,Video,18-24,Other,Asia,41540,5577.6,2024-04-14,9538,0.08450408890752778,6.920099255583127,17.99225806451613,7.447647733792311
C1479,957,900,Instagram,Image,35-44,Other,North America,164700,3623.4,2024-07-11,7511,0.1274131274131274,3.7862068965517244,4.026,45.45454545454545
C2411,935,822,Facebook,Carousel,18-24,Female,Africa,163578,4329.6,2024-06-21,1208,0.7740066225165563,4.630588235294118,5.267153284671533,37.78131929046563
C4371,1117,100,YouTube,Video,55+,Male,Asia,18600,4242.0,2024-06-13,3009,0.37121967431040215,3.7976723366159355,42.42,4.384724186704385
C1053,1565,544,Instagram,Carousel,35-44,Female,Africa,107712,7180.8,2024-08-31,8342,0.18760489091345,4.588370607028754,13.200000000000001,15.0
C1011,1764,1692,Google,Carousel,55+,Other,South America,309636,9027.2,2024-12-18,3958,0.4456796361798888,5.117460317460318,5.335224586288416,34.300336760014176
C9560,1017,379,Google,Video,18-24,Male,Europe,63293,5376.8,2024-05-09,3758,0.2706226716338478,5.286922320550639,14.186807387862798,11.771499776818926
C9523,960,299,YouTube,Text,35-44,Female,Africa,56212,4651.2,2025-01-12,7649,0.12550660217021833,4.845,15.555852842809363,12.085483316133471
C9548,1288,699,LinkedIn,Image,45-54,Male,Africa,85977,2688.3,2024-06-12,7815,0.16481126039667307,2.087189440993789,3.8459227467811163,31.981921660528958
C5510,1126,715,Instagram,Carousel,25-34,Female,Africa,89375,8120.4,2024-09-24,9336,0.12060839760068552,7.211722912966252,11.357202797202797,11.00623122013694
C7701,1558,1000,LinkedIn,Video,55+,Other,Africa,76000,6930.0,2024-05-08,2908,0.5357634112792297,4.44801026957638,6.93,10.966810966810966
C9916,987,484,Google,Video,45-54,Female,Asia,87120,8597.5,2024-05-21,2969,0.3324351633546649,8.710739614994933,17.763429752066116,10.13317824949113
C9888,881,184,YouTube,Video,55+,Other,South America,23920,4130.0,2024-02-23,7403,0.11900580845603134,4.687854710556186,22.445652173913043,5.791767554479419
C8101,1363,598,Instagram,Video,55+,Female,South America,85514,7548.0,2024-06-08,9777,0.13940881661041218,5.537784299339692,12.622073578595318,11.329358770535242
C3516,133,131,Instagram,Text,25-34,Male,Africa,11135,6566.4,2024-02-17,3151,0.04220882259600127,49.37142857142857,50.12519083969465,1.695754142300195
C9308,279,99,LinkedIn,Text,55+,Male,Africa,6039,6672.6,2024-06-28,7303,0.038203478022730386,23.916129032258066,67.4,0.9050445103857566
C9429,1243,318,Instagram,Image,35-44,Other,North America,20352,9292.0,2024-03-02,2044,0.6081213307240705,7.475462590506838,29.22012578616352,2.1902712010331467
C8305,937,795,Facebook,Carousel,18-24,Other,North America,154230,8797.0,2024-04-08,5941,0.15771755596700893,9.388473852721452,11.065408805031447,17.53211322041605
C6143,1283,418,LinkedIn,Image,55+,Male,Africa,40964,9985.8,2024-12-08,8959,0.14320794731554862,7.783164458300857,23.889473684210525,4.102225159726812
C9836,388,241,YouTube,Carousel,55+,Male,North America,44585,2496.0,2024-10-10,3931,0.0987026201984228,6.43298969072165,10.356846473029046,17.862580128205128
C9708,320,126,LinkedIn,Video,18-24,Male,South America,14616,5118.3,2025-01-07,3455,0.09261939218523878,15.994687500000001,40.621428571428574,2.8556356602778266
C2511,1094,979,YouTube,Text,55+,Other,South America,169367,3252.2,2024-09-26,3763,0.290725484985384,2.972760511882998,3.3219611848825332,52.07767049996925
C4061,1452,723,YouTube,Image,18-24,Other,Africa,26028,6939.9,2024-06-12,8422,0.17240560436950844,4.779545454545454,9.598755186721991,3.750486318246661
C6408,1818,1243,LinkedIn,Carousel,55+,Female,Africa,78309,7227.0,2024-06-26,2132,0.8527204502814258,3.9752475247524752,5.814159292035399,10.835616438356164
C5459,1427,1411,Facebook,Text,18-24,Male,Asia,64906,3446.4,2024-06-13,6280,0.22722929936305733,2.415136650315347,2.4425230333097097,18.83298514391829
C8044,1635,804,Facebook,Video,35-44,Other,South America,107736,4905.6,2024-08-27,4395,0.3720136518771331,3.0003669724770643,6.101492537313433,21.96183953033268
C5147,1189,127,Instagram,Carousel,18-24,Other,Africa,5588,4032.0,2024-03-26,5053,0.2353057589550762,3.391084945332212,31.748031496062993,1.3859126984126984
C1785,1193,429,Instagram,Video,25-34,Male,Africa,50622,7885.0,2024-09-22,1460,0.8171232876712329,6.609388097233865,18.37995337995338,6.420038046924541
C4676,1395,310,LinkedIn,Carousel,18-24,Female,South America,31930,5684.2,2024-05-24,8264,0.16880445304937078,4.074695340501792,18.336129032258064,5.617325217268921
C8990,1658,435,Facebook,Text,35-44,Male,Africa,27405,5253.5,2024-09-06,5338,0.310603222180592,3.168576598311218,12.077011494252874,5.216522318454364
C5792,1154,710,Facebook,Carousel,45-54,Other,Europe,29110,6288.0,2024-11-01,9497,0.12151205643887543,5.448873483535529,8.856338028169015,4.629452926208652
C4699,1065,216,LinkedIn,Text,18-24,Other,North America,35640,4944.0,2024-03-18,4345,0.24510932105868816,4.642253521126761,22.88888888888889,7.20873786407767
C3176,813,131,LinkedIn,Text,35-44,Other,North America,7074,9887.9,2024-05-31,2440,0.33319672131147543,12.162238622386223,75.48015267175572,0.7154198565924008
C3273,1542,639,Instagram,Video,18-24,Female,Asia,109269,5187.6,2024-05-13,5944,0.25942126514131897,3.3642023346303502,8.11830985915493,21.06349757113116
C9673,279,157,Facebook,Text,35-44,Female,North America,10205,9048.6,2024-06-21,2198,0.12693357597816196,32.432258064516134,57.6343949044586,1.1277987755011825
C4126,1909,1311,YouTube,Carousel,25-34,Male,Asia,98325,2880.8,2024-10-14,2410,0.7921161825726141,1.5090623363017288,2.197406559877956,34.13114412663149
C4213,877,672,LinkedIn,Image,35-44,Male,Europe,98784,2717.0,2024-07-09,7979,0.10991352299786941,3.0980615735461803,4.043154761904762,36.35774751564225
C9401,119,115,Instagram,Text,35-44,Female,South America,12650,8148.0,2024-07-03,5748,0.02070285316631872,68.47058823529412,70.85217391304347,1.5525282277859598
C3703,1737,145,LinkedIn,Carousel,55+,Male,Africa,9280,2802.8,2024-09-03,9758,0.17800778848124615,1.6135866436384572,19.329655172413794,3.3109747395461677
C4846,1668,509,Instagram,Carousel,18-24,Other,North America,42756,2360.0,2024-02-26,2518,0.6624305003971406,1.4148681055155876,4.636542239685658,18.11694915254237
C8078,1243,403,Facebook,Text,55+,Other,South America,26195,2706.3,2024-03-22,9802,0.1268108549275658,2.1772325020112633,6.7153846153846155,9.67926689576174
C5390,551,247,YouTube,Video,45-54,Other,Europe,25441,6226.5,2024-10-27,5482,0.10051076249543962,11.300362976406534,25.208502024291498,4.085923070746005
C9376,427,60,Facebook,Text,55+,Male,Africa,10200,7423.5,2024-08-19,5640,0.07570921985815603,17.385245901639344,123.725,1.3740149525156597
C4004,463,50,YouTube,Image,35-44,Male,Europe,3500,3350.0,2024-08-12,3785,0.12232496697490093,7.235421166306695,67.0,1.044776119402985
C5589,1890,1089,Facebook,Text,18-24,Other,North America,130680,2482.3,2024-10-29,7954,0.2376162936887101,1.3133862433862435,2.2794306703397615,52.64472465052572
C2306,1411,119,LinkedIn,Text,35-44,Male,Africa,3927,5878.2,2025-01-17,8067,0.17491012768067435,4.165981573352233,49.39663865546218,0.6680616515259774
C5677,1284,971,Facebook,Text,45-54,Male,Africa,118462,2929.0,2024-02-19,4039,0.3179004704134687,2.2811526479750777,3.016477857878476,40.44452031410037
C7450,1273,126,LinkedIn,Image,35-44,Female,Africa,13356,6296.4,2025-01-09,6435,0.1978243978243978,4.94611154752553,49.97142857142857,2.1212121212121215
C5033,1493,1475,Facebook,Video,35-44,Female,Africa,205025,3855.6,2024-07-05,4760,0.31365546218487395,2.582451440053583,2.613966101694915,53.17589998962548
C8674,1476,288,LinkedIn,Video,25-34,Female,Africa,23328,2995.2,2025-02-05,8241,0.1791044776119403,2.029268292682927,10.399999999999999,7.788461538461539
C6099,132,13,Facebook,Text,25-34,Other,North America,1768,9148.8,2024-10-29,3358,0.039309112567004166,69.3090909090909,703.7538461538461,0.19324938789786641
C7138,1024,145,YouTube,Image,18-24,Female,Africa,13485,3155.6,2024-03-12,4160,0.24615384615384617,3.081640625,21.762758620689656,4.273355304854861
C4844,325,295,YouTube,Video,45-54,Female,Asia,45430,8043.0,2025-01-14,4265,0.07620164126611957,24.747692307692308,27.264406779661016,5.648389904264578
